date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover
2018-01-02,5.531,5.589,5.592,5.52,525743.0,349300160.000,1.31,1.38,0.076,1.13
2018-01-03,5.591,5.627,5.64,5.581,351534.0,235694054.000,1.06,0.68,0.038,0.75
2018-01-04,5.627,5.65,5.65,5.615,428532.0,288422224.000,0.62,0.41,0.023,0.92
2018-01-05,5.651,5.66,5.673,5.629,292916.0,197782972.000,0.78,0.18,0.010,0.63
2018-01-08,5.661,5.687,5.694,5.638,278509.0,188633681.000,0.99,0.48,0.027,0.60
2018-01-09,5.684,5.682,5.685,5.663,231364.0,156735422.000,0.39,-0.09,-0.005,0.50
2018-01-10,5.679,5.652,5.679,5.616,293337.0,197644878.000,1.11,-0.53,-0.030,0.63
2018-01-11,5.636,5.666,5.675,5.619,206756.0,139537279.000,0.99,0.25,0.014,0.44
2018-01-12,5.658,5.637,5.669,5.627,318596.0,215029045.000,0.74,-0.51,-0.029,0.68
2018-01-15,5.623,5.511,5.633,5.496,427236.0,282912224.000,2.43,-2.24,-0.126,0.91
2018-01-16,5.507,5.541,5.588,5.503,464685.0,307280800.000,1.54,0.54,0.030,0.99
2018-01-17,5.542,5.508,5.544,5.458,607058.0,399076224.000,1.55,-0.60,-0.033,1.30
2018-01-18,5.497,5.53,5.555,5.494,309543.0,204540733.000,1.11,0.40,0.022,0.66
2018-01-19,5.523,5.513,5.564,5.507,340980.0,225536249.000,1.03,-0.31,-0.017,0.73
2018-01-22,5.507,5.587,5.596,5.487,677733.0,450059824.000,1.98,1.34,0.074,1.45
2018-01-23,5.592,5.595,5.614,5.572,420143.0,280737072.000,0.75,0.14,0.008,0.90
2018-01-24,5.597,5.639,5.649,5.575,851393.0,571340752.000,1.32,0.79,0.044,1.82
2018-01-25,5.641,5.63,5.665,5.629,567947.0,382956544.000,0.64,-0.16,-0.009,1.22
2018-01-26,5.629,5.636,5.65,5.616,331981.0,223370596.000,0.60,0.11,0.006,0.71
2018-01-29,5.631,5.56,5.653,5.548,498713.0,333296016.000,1.86,-1.35,-0.076,1.07
2018-01-30,5.56,5.559,5.581,5.546,293135.0,194936851.000,0.63,-0.02,-0.001,0.63
2018-01-31,5.541,5.436,5.541,5.433,447349.0,292504192.000,1.94,-2.21,-0.123,0.96
2018-02-01,5.436,5.266,5.462,5.26,864195.0,551865680.000,3.72,-3.13,-0.170,1.85
2018-02-02,5.252,5.263,5.278,5.128,1267489.0,793031408.000,2.85,-0.06,-0.003,2.71
2018-02-05,5.197,5.253,5.278,5.173,541419.0,339760000.000,2.00,-0.19,-0.010,1.16
2018-02-06,5.164,5.005,5.201,4.995,827310.0,507931376.000,3.92,-4.72,-0.248,1.77
2018-02-07,5.089,5.011,5.12,4.93,735216.0,443705248.000,3.80,0.12,0.006,1.57
2018-02-08,5.011,5.057,5.082,4.982,676477.0,410095296.000,2.00,0.92,0.046,1.45
2018-02-09,4.911,4.855,4.977,4.814,2130362.0,1251897856.000,3.22,-3.99,-0.202,4.56
2018-02-12,4.876,4.993,5.022,4.876,698404.0,416947632.000,3.01,2.84,0.138,1.49
2018-02-13,5.007,5.025,5.072,5.007,367858.0,222569002.000,1.30,0.64,0.032,0.79
2018-02-14,5.031,5.043,5.044,4.998,258543.0,155739946.000,0.92,0.36,0.018,0.55
2018-02-22,5.076,5.153,5.155,5.074,380812.0,233875055.000,1.61,2.18,0.110,0.82
2018-02-23,5.149,5.161,5.175,5.125,375252.0,231689160.000,0.97,0.16,0.008,0.80
2018-02-26,5.19,5.307,5.312,5.186,870131.0,548835584.000,2.44,2.83,0.146,1.86
2018-02-27,5.307,5.281,5.317,5.27,580361.0,368172960.000,0.89,-0.49,-0.026,1.24
2018-02-28,5.238,5.283,5.319,5.222,523387.0,331092352.000,1.84,0.04,0.002,1.12
2018-03-01,5.273,5.359,5.365,5.234,492663.0,313549024.000,2.48,1.44,0.076,1.05
2018-03-02,5.335,5.332,5.352,5.314,353964.0,226016932.000,0.71,-0.50,-0.027,0.76
