date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2018-01-02,106.93,106.844,106.93,106.773,2481,27171778.0,0.15,0.13,0.134,0.71
2018-01-03,106.844,106.888,106.985,106.78,1733,18992881.0,0.19,0.04,0.044,0.5
2018-01-04,106.854,106.908,106.911,106.845,4769,52250984.0,0.06,0.02,0.02,1.36
2018-01-05,106.91,106.917,106.925,106.874,908,9950634.0,0.05,0.01,0.009,0.26
2018-01-08,106.917,106.98,107.003,106.914,830,9099840.0,0.08,0.06,0.063,0.24
2018-01-09,106.981,107.001,107.007,106.98,1565,17167393.0,0.03,0.02,0.021,0.45
2018-01-10,107.062,106.993,107.064,106.967,6710,73607476.0,0.09,-0.01,-0.008,1.92
2018-01-11,106.993,106.895,106.993,106.865,466,5106842.0,0.12,-0.09,-0.098,0.13
2018-01-12,106.954,106.991,107.025,106.874,1754,19222844.0,0.14,0.09,0.096,0.5
2018-01-15,106.93,106.866,106.944,106.864,1156,12668549.0,0.07,-0.12,-0.125,0.33
2018-01-16,106.883,106.869,107.005,106.856,1677,18386635.0,0.14,0.0,0.003,0.48
2018-01-17,106.869,106.855,106.921,106.724,822,9002152.0,0.18,-0.01,-0.014,0.23
2018-01-18,106.903,106.738,106.903,106.735,772,8454803.0,0.16,-0.11,-0.117,0.22
2018-01-19,106.778,106.881,106.894,106.735,1358,14864358.0,0.15,0.13,0.143,0.39
2018-01-22,106.78,106.969,107.69,106.78,1685,18482306.0,0.85,0.08,0.088,0.48
2018-01-23,106.894,107.01,107.044,106.869,2207,24209755.0,0.16,0.04,0.041,0.63
2018-01-24,107.011,107.139,107.481,106.933,1705,18722319.0,0.51,0.12,0.129,0.49
2018-01-25,107.115,107.232,107.31,107.055,2028,22275931.0,0.24,0.09,0.093,0.58
2018-01-26,107.221,107.261,107.384,107.221,1739,19125931.0,0.15,0.03,0.029,0.5
2018-01-29,107.259,107.316,107.387,107.259,1250,13752694.0,0.12,0.05,0.055,0.36
2018-01-30,107.316,107.31,107.352,107.257,738,8116942.0,0.09,-0.01,-0.006,0.21
2018-01-31,107.31,107.169,107.31,107.023,2080,22845401.0,0.27,-0.13,-0.141,0.59
2018-02-01,107.061,107.192,107.209,107.061,282,3097595.0,0.14,0.02,0.023,0.08
2018-02-02,107.087,107.244,107.244,107.087,4942,54308134.0,0.15,0.05,0.052,1.41
2018-02-05,107.31,107.32,107.327,107.255,3683,40509383.0,0.07,0.07,0.076,1.05
2018-02-06,107.386,107.306,107.538,107.3,4565,50213389.0,0.22,-0.01,-0.014,1.3
2018-02-07,107.245,107.371,107.386,107.243,6801,74809131.0,0.13,0.06,0.065,1.94
2018-02-08,107.371,107.363,107.417,107.319,8777,96597212.0,0.09,-0.01,-0.008,2.51
2018-02-09,107.367,107.713,107.918,107.365,2721,30007125.0,0.52,0.33,0.35,0.78
2018-02-12,107.698,107.838,107.839,107.614,2498,27591246.0,0.21,0.12,0.125,0.71
2018-02-13,107.705,107.836,107.844,107.696,4771,52723581.0,0.14,0.0,-0.002,1.36
2018-02-14,107.837,107.844,107.845,107.694,3517,38865041.0,0.14,0.01,0.008,1.01
2018-02-22,107.768,107.693,107.911,107.684,4093,45210486.0,0.21,-0.14,-0.151,1.17
