date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2018-01-02,95.255,95.336,95.336,95.138,1070,10511179.0,0.21,0.09,0.084,0.07
2018-01-03,95.339,95.296,95.339,95.237,754,7405183.0,0.11,-0.04,-0.04,0.05
2018-01-04,95.246,95.297,95.297,95.217,1364,13389083.0,0.08,0.0,0.001,0.09
2018-01-05,95.3,95.214,95.613,94.637,565,5528626.0,1.02,-0.09,-0.083,0.04
2018-01-08,95.211,95.122,95.478,94.987,365,3578728.0,0.52,-0.1,-0.092,0.02
2018-01-09,95.116,95.26,95.43,94.991,775,7594558.0,0.46,0.15,0.138,0.05
2018-01-10,95.256,95.14,95.256,95.066,361,3538959.0,0.2,-0.13,-0.12,0.02
2018-01-11,95.137,94.878,95.137,94.757,327,3196335.0,0.4,-0.28,-0.262,0.02
2018-01-12,94.887,94.891,95.024,94.887,130,1272889.0,0.14,0.01,0.013,0.01
2018-01-15,94.894,94.936,95.025,94.786,97,949686.0,0.25,0.05,0.045,0.01
2018-01-16,94.939,94.995,94.995,94.867,935,9140864.0,0.13,0.06,0.059,0.06
2018-01-17,94.992,94.77,94.992,94.736,22,215799.0,0.27,-0.24,-0.225,0.0
2018-01-18,94.789,94.838,94.915,94.687,332,3246741.0,0.24,0.07,0.068,0.02
2018-01-19,94.777,95.133,95.133,94.777,126,1233207.0,0.38,0.31,0.295,0.01
2018-01-22,95.123,95.592,95.635,94.85,138,1353979.0,0.83,0.48,0.459,0.01
2018-01-23,95.336,95.386,95.535,95.336,861,8453955.0,0.21,-0.22,-0.206,0.06
2018-01-24,95.38,95.386,95.532,95.197,3013,29605605.0,0.35,0.0,0.0,0.2
2018-01-25,95.378,94.952,95.526,94.638,628,6170791.0,0.93,-0.45,-0.434,0.04
2018-01-26,95.137,95.163,95.592,95.137,1210,11885411.0,0.48,0.22,0.211,0.08
2018-01-29,95.172,95.146,95.415,95.136,1062,10410758.0,0.29,-0.02,-0.017,0.07
2018-01-30,95.149,94.997,95.475,94.988,970,9503686.0,0.51,-0.16,-0.149,0.06
2018-01-31,95.0,95.189,95.19,94.899,245,2400002.0,0.31,0.2,0.192,0.02
2018-02-01,95.192,95.102,95.307,94.987,988,9699858.0,0.34,-0.09,-0.087,0.07
2018-02-02,95.114,95.304,95.304,95.067,139,1363638.0,0.25,0.21,0.202,0.01
2018-02-05,95.301,95.306,95.435,95.236,478,4692586.0,0.21,0.0,0.002,0.03
2018-02-06,95.309,95.137,95.336,95.087,117,1144684.0,0.26,-0.18,-0.169,0.01
2018-02-07,95.239,95.337,95.385,95.236,341,3348293.0,0.16,0.21,0.2,0.02
2018-02-08,95.336,95.478,96.032,95.336,140,1378537.0,0.73,0.15,0.141,0.01
2018-02-09,95.416,95.536,95.624,95.416,171,1685578.0,0.22,0.06,0.058,0.01
2018-02-12,95.535,95.387,96.083,95.387,115,1133661.0,0.73,-0.16,-0.149,0.01
2018-02-13,95.557,95.418,95.716,95.399,7,69941.0,0.33,0.03,0.031,0.0
2018-02-14,95.421,96.027,96.036,95.421,147,1457562.0,0.64,0.64,0.609,0.01
2018-02-22,95.98,95.736,96.015,95.736,28,276819.0,0.29,-0.3,-0.291,0.0
2018-02-23,95.507,95.736,96.095,95.507,284,2800279.0,0.61,0.0,0.0,0.02
2018-02-26,96.116,96.481,97.696,96.116,724,7195701.0,1.65,0.78,0.745,0.05
