date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2019-06-12,0.253,0.258,0.261,0.253,1080141,110629767.0,3.11,0.39,0.001,1.27
2019-06-13,0.258,0.256,0.26,0.254,300887,30878815.0,2.33,-0.78,-0.002,0.35
2019-06-14,0.257,0.247,0.257,0.247,271986,27329852.0,3.91,-3.52,-0.009,0.32
2019-06-17,0.249,0.245,0.249,0.243,145766,14265379.0,2.43,-0.81,-0.002,0.17
2019-06-18,0.243,0.242,0.245,0.242,361049,35058369.0,1.22,-1.22,-0.003,0.42
2019-06-19,0.248,0.252,0.255,0.248,453041,45707765.0,2.89,4.13,0.01,0.53
2019-06-20,0.25,0.255,0.256,0.249,332120,33603773.0,2.78,1.19,0.003,0.39
2019-06-21,0.255,0.259,0.263,0.255,399042,41534584.0,3.14,1.57,0.004,0.47
2019-06-24,0.258,0.259,0.261,0.257,262649,27134668.0,1.54,0.0,0.0,0.31
2019-06-25,0.259,0.255,0.259,0.252,226092,23081510.0,2.7,-1.54,-0.004,0.27
2019-06-26,0.254,0.257,0.259,0.253,234786,24090270.0,2.35,0.78,0.002,0.28
2019-06-27,0.258,0.263,0.266,0.258,485366,50875909.0,3.11,2.33,0.006,0.57
2019-06-28,0.263,0.258,0.264,0.256,266981,27630221.0,3.04,-1.9,-0.005,0.31
2019-07-01,0.265,0.27,0.27,0.263,459932,49156005.0,2.71,4.65,0.012,0.54
2019-07-02,0.269,0.265,0.27,0.264,326846,34912563.0,2.22,-1.85,-0.005,0.38
2019-07-03,0.264,0.261,0.265,0.26,295120,30904541.0,1.89,-1.51,-0.004,0.35
2019-07-04,0.262,0.258,0.263,0.257,287130,29742331.0,2.3,-1.15,-0.003,0.34
2019-07-05,0.258,0.261,0.261,0.258,285845,29711350.0,1.16,1.16,0.003,0.34
2019-07-08,0.261,0.25,0.261,0.249,473226,47703006.0,4.6,-4.21,-0.011,0.56
2019-07-09,0.249,0.251,0.252,0.248,276610,27702820.0,1.6,0.4,0.001,0.32
2019-07-10,0.251,0.254,0.256,0.251,346649,35203492.0,1.99,1.2,0.003,0.41
2019-07-11,0.256,0.251,0.256,0.249,266907,26961006.0,2.76,-1.18,-0.003,0.31
2019-07-12,0.251,0.252,0.253,0.249,259337,26067501.0,1.59,0.4,0.001,0.3
2019-07-15,0.25,0.258,0.259,0.248,498199,50581455.0,4.37,2.38,0.006,0.58
2019-07-16,0.255,0.259,0.261,0.255,271343,28113682.0,2.33,0.39,0.001,0.32
2019-07-17,0.259,0.265,0.268,0.259,503496,53547237.0,3.47,2.32,0.006,0.59
2019-07-18,0.263,0.26,0.264,0.259,490285,51115604.0,1.89,-1.89,-0.005,0.58
2019-07-19,0.261,0.262,0.263,0.26,566600,59298055.0,1.15,0.77,0.002,0.66
2019-07-22,0.265,0.259,0.268,0.252,2515935,259795655.0,6.11,-1.15,-0.003,2.95
2019-07-23,0.259,0.266,0.267,0.258,1144194,120630243.0,3.47,2.7,0.007,1.34
2019-07-24,0.268,0.274,0.275,0.267,875737,95565924.0,3.01,3.01,0.008,1.03
2019-07-25,0.274,0.278,0.281,0.274,702588,78063032.0,2.55,1.46,0.004,0.82
2019-07-26,0.279,0.278,0.279,0.275,524670,58102094.0,1.44,0.0,0.0,0.62
2019-07-29,0.278,0.281,0.283,0.278,666085,74732286.0,1.8,1.08,0.003,0.78
2019-07-30,0.281,0.278,0.283,0.277,458434,51180415.0,2.14,-1.07,-0.003,0.54
2019-07-31,0.277,0.28,0.282,0.277,846857,94911853.0,1.8,0.72,0.002,0.99
2019-08-01,0.277,0.278,0.28,0.275,623785,69317904.0,1.79,-0.71,-0.002,0.73
2019-08-02,0.272,0.275,0.277,0.27,838585,91911916.0,2.52,-1.08,-0.003,0.98
2019-08-05,0.273,0.271,0.279,0.271,651186,71600346.0,2.91,-1.45,-0.004,0.76
2019-08-06,0.264,0.264,0.265,0.256,1006557,105326178.0,3.32,-2.58,-0.007,1.18
2019-08-07,0.265,0.259,0.266,0.258,573431,60085085.0,3.03,-1.89,-0.005,0.67
2019-08-08,0.261,0.267,0.268,0.26,1710178,179713448.0,3.09,3.09,0.008,2.01
2019-08-09,0.268,0.262,0.271,0.261,783774,83380095.0,3.75,-1.87,-0.005,0.92
2019-08-12,0.265,0.274,0.274,0.262,1216932,130055168.0,4.58,4.58,0.012,1.43
2019-08-13,0.271,0.272,0.273,0.269,725395,78651131.0,1.46,-0.73,-0.002,0.85
2019-08-14,0.276,0.273,0.281,0.273,761313,84523693.0,2.94,0.37,0.001,0.89
2019-08-15,0.266,0.279,0.279,0.264,1333503,145013048.0,5.49,2.2,0.006,1.56
