date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover
2018-01-19,1.001,1.001,1.005,0.997,1242152.0,124239783.000,0.80,-0.10,-0.001,2.41
2018-01-22,1.001,1.023,1.034,0.995,486046.0,49247432.000,3.90,2.20,0.022,0.94
2018-01-23,1.024,1.029,1.031,1.02,188954.0,19398992.000,1.08,0.59,0.006,0.37
2018-01-24,1.03,1.065,1.07,1.025,449287.0,47196797.000,4.37,3.50,0.036,0.87
2018-01-25,1.065,1.065,1.095,1.063,393758.0,42452069.000,3.00,0.00,0.000,0.76
2018-01-26,1.069,1.069,1.076,1.06,183199.0,19581493.000,1.50,0.38,0.004,0.36
2018-01-29,1.069,1.056,1.073,1.048,209045.0,22136946.000,2.34,-1.22,-0.013,0.41
2018-01-30,1.05,1.046,1.057,1.042,71731.0,7520583.000,1.42,-0.95,-0.010,0.14
2018-01-31,1.042,1.02,1.042,1.017,183847.0,18840935.000,2.39,-2.49,-0.026,0.36
2018-02-01,1.025,0.994,1.025,0.993,178989.0,18004345.000,3.14,-2.55,-0.026,0.35
2018-02-02,0.995,0.999,1.009,0.983,137490.0,13701636.000,2.62,0.50,0.005,0.27
2018-02-05,0.985,0.989,0.996,0.983,148085.0,14632963.000,1.30,-1.00,-0.010,0.29
2018-02-06,0.983,0.943,0.983,0.941,205575.0,19786815.000,4.25,-4.65,-0.046,0.40
2018-02-07,0.958,0.95,0.965,0.931,119618.0,11351763.000,3.61,0.74,0.007,0.23
2018-02-08,0.948,0.953,0.96,0.946,53029.0,5060059.000,1.47,0.32,0.003,0.10
2018-02-09,0.933,0.918,0.934,0.909,132317.0,12182801.000,2.62,-3.67,-0.035,0.26
2018-02-12,0.925,0.943,0.945,0.921,63911.0,5975677.000,2.61,2.72,0.025,0.12
2018-02-13,0.949,0.94,0.953,0.935,42894.0,4054177.000,1.91,-0.32,-0.003,0.08
2018-02-14,0.942,0.935,0.942,0.931,82366.0,7690116.000,1.17,-0.53,-0.005,0.16
2018-02-22,0.953,0.953,0.957,0.943,94910.0,9013718.000,1.50,1.93,0.018,0.18
2018-02-23,0.951,0.945,0.957,0.94,47865.0,4535507.000,1.78,-0.84,-0.008,0.09
2018-02-26,0.946,0.968,0.975,0.946,113224.0,10890154.000,3.07,2.43,0.023,0.22
2018-02-27,0.97,0.989,0.992,0.97,172013.0,16891931.000,2.27,2.17,0.021,0.33
2018-02-28,0.985,0.989,1.0,0.973,82322.0,8152005.000,2.73,0.00,0.000,0.16
2018-03-01,0.981,1.004,1.005,0.981,66596.0,6630826.000,2.43,1.52,0.015,0.13
2018-03-02,0.998,1.001,1.008,0.994,87894.0,8798309.000,1.39,-0.30,-0.003,0.17
2018-03-05,1.0,1.002,1.004,0.99,37547.0,3745421.000,1.40,0.10,0.001,0.07
2018-03-06,1.001,1.008,1.014,1.001,106086.0,10682466.000,1.30,0.60,0.006,0.21
2018-03-07,1.01,1.002,1.012,0.998,34758.0,3488163.000,1.39,-0.60,-0.006,0.07
2018-03-08,1.002,1.003,1.005,0.997,19907.0,1991491.000,0.80,0.10,0.001,0.04
2018-03-09,1.007,1.027,1.03,1.004,99215.0,10116577.000,2.59,2.39,0.024,0.19
2018-03-12,1.03,1.044,1.047,1.03,116300.0,12092076.000,1.66,1.66,0.017,0.23
2018-03-13,1.046,1.042,1.055,1.038,112106.0,11728706.000,1.63,-0.19,-0.002,0.22
2018-03-14,1.041,1.034,1.042,1.03,53814.0,5572394.000,1.15,-0.77,-0.008,0.10
2018-03-15,1.034,1.025,1.034,1.012,42047.0,4295758.000,2.13,-0.87,-0.009,0.08
2018-03-16,1.025,1.022,1.034,1.02,23064.0,2373508.000,1.37,-0.29,-0.003,0.04
2018-03-19,1.027,1.022,1.034,1.018,43106.0,4428184.000,1.57,0.00,0.000,0.08
2018-03-20,1.01,1.022,1.023,1.003,55681.0,5623712.000,1.96,0.00,0.000,0.11
2018-03-21,1.022,1.006,1.028,1.004,30751.0,3129941.000,2.35,-1.57,-0.016,0.06
2018-03-22,1.011,1.004,1.016,1.001,48469.0,4869499.000,1.49,-0.20,-0.002,0.09
2018-03-23,0.989,0.955,0.99,0.944,165316.0,15955746.000,4.58,-4.88,-0.049,0.32
2018-03-26,0.956,0.973,0.975,0.94,69878.0,6705543.000,3.66,1.88,0.018,0.14
2018-03-27,0.98,1.0,1.006,0.979,57583.0,5740132.000,2.77,2.77,0.027,0.11
2018-03-28,0.995,0.995,1.003,0.967,73592.0,7342073.000,3.60,-0.50,-0.005,0.14
2018-03-29,1.007,0.995,1.007,0.989,20033.0,1992089.000,1.81,0.00,0.000,0.04
2018-03-30,0.998,1.008,1.009,0.998,24283.0,2439798.000,1.11,1.31,0.013,0.05
2018-04-02,1.008,1.011,1.019,1.004,61671.0,6241095.000,1.49,0.30,0.003,0.12
2018-04-03,1.004,0.991,1.004,0.982,53213.0,5269153.000,2.18,-1.98,-0.020,0.10
2018-04-04,0.997,0.98,0.997,0.977,24994.0,2466626.000,2.02,-1.11,-0.011,0.05
2018-04-09,0.979,0.977,0.987,0.973,29441.0,2885596.000,1.43,-0.31,-0.003,0.06
2018-04-10,0.98,0.977,0.98,0.963,66135.0,6406975.000,1.74,0.00,0.000,0.13
2018-04-11,0.983,0.984,0.989,0.978,29279.0,2884172.000,1.13,0.72,0.007,0.06
2018-04-12,0.978,0.974,0.984,0.972,34055.0,3332899.000,1.22,-1.02,-0.010,0.07
2018-04-13,0.98,0.977,0.982,0.973,27831.0,2718062.000,0.92,0.31,0.003,0.05
2018-04-16,0.979,0.98,0.986,0.972,27288.0,2675610.000,1.43,0.31,0.003,0.05
2018-04-17,0.981,0.952,0.983,0.95,80214.0,7706130.000,3.37,-2.86,-0.028,0.16
2018-04-18,0.96,0.958,0.962,0.932,91678.0,8655266.000,3.15,0.63,0.006,0.18
2018-04-19,0.961,0.962,0.969,0.956,33483.0,3222420.000,1.36,0.42,0.004,0.07
2018-04-20,0.961,0.939,0.961,0.935,98288.0,9255037.000,2.70,-2.39,-0.023,0.19
2018-04-23,0.939,0.922,0.941,0.913,109694.0,10122242.000,2.98,-1.81,-0.017,0.21
2018-04-24,0.928,0.952,0.953,0.925,51599.0,4850151.000,3.04,3.25,0.030,0.10
2018-04-25,0.949,0.956,0.962,0.946,30480.0,2914167.000,1.68,0.42,0.004,0.06
2018-04-26,0.96,0.939,0.96,0.938,39118.0,3704425.000,2.30,-1.78,-0.017,0.08
2018-04-27,0.949,0.945,0.949,0.934,106875.0,10045745.000,1.60,0.64,0.006,0.21
2018-05-02,0.946,0.938,0.95,0.934,61892.0,5820478.000,1.69,-0.74,-0.007,0.12
2018-05-03,0.942,0.945,0.945,0.922,67468.0,6285482.000,2.45,0.75,0.007,0.13
2018-05-04,0.942,0.939,0.946,0.938,38155.0,3595587.000,0.85,-0.63,-0.006,0.07
2018-05-07,0.943,0.95,0.952,0.941,29489.0,2794389.000,1.17,1.17,0.011,0.06
2018-05-08,0.95,0.957,0.959,0.948,47839.0,4557921.000,1.16,0.74,0.007,0.09
2018-05-09,0.958,0.954,0.958,0.951,15454.0,1476312.000,0.73,-0.31,-0.003,0.03
2018-05-10,0.957,0.959,0.96,0.95,29959.0,2862432.000,1.05,0.52,0.005,0.06
2018-05-11,0.959,0.952,0.962,0.949,52013.0,4959512.000,1.36,-0.73,-0.007,0.10
2018-05-14,0.952,0.947,0.956,0.946,30789.0,2929815.000,1.05,-0.53,-0.005,0.06
2018-05-15,0.95,0.96,0.96,0.945,156521.0,14871894.000,1.58,1.37,0.013,0.30
2018-05-16,0.96,0.956,0.963,0.953,52857.0,5064649.000,1.04,-0.42,-0.004,0.10
2018-05-17,0.958,0.953,0.958,0.95,55499.0,5292504.000,0.84,-0.31,-0.003,0.11
2018-05-18,0.953,0.959,0.96,0.949,44136.0,4202136.000,1.15,0.63,0.006,0.09
2018-05-21,0.96,0.969,0.972,0.96,51820.0,5017030.000,1.25,1.04,0.010,0.10
2018-05-22,0.971,0.968,0.971,0.962,45385.0,4389618.000,0.93,-0.10,-0.001,0.09
2018-05-23,0.968,0.96,0.97,0.96,28354.0,2738278.000,1.03,-0.83,-0.008,0.06
2018-05-24,0.96,0.958,0.962,0.955,23713.0,2272501.000,0.73,-0.21,-0.002,0.05
2018-05-25,0.959,0.944,0.959,0.943,51072.0,4842227.000,1.67,-1.46,-0.014,0.10
2018-05-28,0.947,0.935,0.948,0.934,73309.0,6882315.000,1.48,-0.95,-0.009,0.14
2018-05-29,0.936,0.935,0.944,0.933,52305.0,4904123.000,1.18,0.00,0.000,0.10
2018-05-30,0.932,0.904,0.932,0.904,191974.0,17549568.000,2.99,-3.32,-0.031,0.37
2018-05-31,0.915,0.917,0.919,0.904,31962.0,2916687.000,1.66,1.44,0.013,0.06
2018-06-01,0.916,0.904,0.918,0.904,56850.0,5168326.000,1.53,-1.42,-0.013,0.11
2018-06-04,0.901,0.9,0.909,0.893,89465.0,8047233.000,1.77,-0.44,-0.004,0.17
2018-06-05,0.901,0.912,0.913,0.897,42701.0,3861924.000,1.78,1.33,0.012,0.08
2018-06-06,0.914,0.91,0.915,0.908,20751.0,1891170.000,0.77,-0.22,-0.002,0.04
2018-06-07,0.911,0.908,0.914,0.905,34298.0,3119449.000,0.99,-0.22,-0.002,0.07
2018-06-08,0.91,0.893,0.91,0.887,100655.0,8987823.000,2.53,-1.65,-0.015,0.20
2018-06-11,0.893,0.889,0.894,0.882,42418.0,3761041.000,1.34,-0.45,-0.004,0.08
2018-06-12,0.89,0.897,0.9,0.883,41170.0,3678181.000,1.91,0.90,0.008,0.08
2018-06-13,0.897,0.884,0.897,0.882,26047.0,2311051.000,1.67,-1.45,-0.013,0.05
2018-06-14,0.884,0.875,0.885,0.873,74712.0,6557391.000,1.36,-1.02,-0.009,0.15
2018-06-15,0.875,0.862,0.877,0.855,78704.0,6789602.000,2.51,-1.49,-0.013,0.15
2018-06-19,0.856,0.81,0.856,0.797,224066.0,18441134.000,6.84,-6.03,-0.052,0.44
2018-06-20,0.81,0.81,0.817,0.795,86822.0,7000471.000,2.72,0.00,0.000,0.17
2018-06-21,0.815,0.788,0.815,0.788,75535.0,6026924.000,3.33,-2.72,-0.022,0.15
2018-06-22,0.787,0.8,0.803,0.78,31984.0,2540285.000,2.92,1.52,0.012,0.06
2018-06-25,0.806,0.797,0.808,0.795,21771.0,1743533.000,1.63,-0.38,-0.003,0.04
2018-06-26,0.794,0.807,0.809,0.785,32947.0,2632740.000,3.01,1.25,0.010,0.06
2018-06-27,0.807,0.799,0.809,0.795,34838.0,2788025.000,1.73,-0.99,-0.008,0.07
