date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2019-10-16,0.333,0.327,0.334,0.327,3640785,360346864.0,2.13,-0.61,-0.002,2.85
2019-10-17,0.328,0.326,0.329,0.326,2563442,251630241.0,0.92,-0.31,-0.001,2.01
2019-10-18,0.326,0.324,0.331,0.323,3761020,368709568.0,2.45,-0.61,-0.002,2.95
2019-10-21,0.324,0.321,0.324,0.316,1981599,189673781.0,2.47,-0.93,-0.003,1.55
2019-10-22,0.322,0.326,0.326,0.321,1787450,173795611.0,1.56,1.56,0.005,1.4
2019-10-23,0.326,0.324,0.327,0.323,1400792,136705939.0,1.23,-0.61,-0.002,1.1
2019-10-24,0.324,0.322,0.324,0.319,1526033,147201234.0,1.54,-0.62,-0.002,1.2
2019-10-25,0.321,0.326,0.327,0.318,2321150,224633791.0,2.8,1.24,0.004,1.82
2019-10-28,0.333,0.333,0.333,0.328,3111463,309289952.0,1.53,2.15,0.007,2.44
2019-10-29,0.333,0.328,0.333,0.327,1766201,175010745.0,1.8,-1.5,-0.005,1.38
2019-10-30,0.326,0.324,0.327,0.321,1576990,153507343.0,1.83,-1.22,-0.004,1.24
2019-10-31,0.325,0.324,0.327,0.323,1384872,135117109.0,1.23,0.0,0.0,1.09
2019-11-01,0.323,0.327,0.327,0.322,1484389,145181932.0,1.54,0.93,0.003,1.16
2019-11-04,0.327,0.333,0.336,0.327,3701352,369862000.0,2.75,1.83,0.006,2.9
2019-11-05,0.333,0.333,0.333,0.329,1789249,177894597.0,1.2,0.0,0.0,1.4
2019-11-06,0.333,0.328,0.333,0.327,2300172,227195069.0,1.8,-1.5,-0.005,1.8
2019-11-07,0.328,0.329,0.331,0.327,1275763,125998987.0,1.22,0.3,0.001,1.0
2019-11-08,0.331,0.331,0.335,0.331,3462352,345980224.0,1.22,0.61,0.002,2.71
2019-11-11,0.33,0.324,0.33,0.323,2969646,290058384.0,2.11,-2.11,-0.007,2.33
2019-11-12,0.325,0.321,0.325,0.316,3536486,338774656.0,2.78,-0.93,-0.003,2.77
2019-11-13,0.32,0.321,0.323,0.317,1508318,144997283.0,1.87,0.0,0.0,1.18
2019-11-14,0.321,0.326,0.327,0.321,2288360,222297985.0,1.87,1.56,0.005,1.79
2019-11-15,0.325,0.321,0.326,0.32,1854366,179411516.0,1.84,-1.53,-0.005,1.45
2019-11-18,0.321,0.322,0.323,0.319,1147675,110802686.0,1.25,0.31,0.001,0.9
2019-11-19,0.322,0.329,0.329,0.321,2642408,258704187.0,2.48,2.17,0.007,2.07
2019-11-20,0.329,0.326,0.33,0.326,1690648,166356612.0,1.22,-0.91,-0.003,1.33
2019-11-21,0.325,0.325,0.326,0.322,1417253,137705587.0,1.23,-0.31,-0.001,1.11
2019-11-22,0.325,0.32,0.33,0.319,3758469,363739152.0,3.38,-1.54,-0.005,2.95
2019-11-25,0.32,0.314,0.32,0.313,4090277,386348144.0,2.19,-1.88,-0.006,3.21
2019-11-26,0.315,0.313,0.317,0.312,2068480,194665043.0,1.59,-0.32,-0.001,1.62
2019-11-27,0.313,0.315,0.317,0.311,2167486,204785830.0,1.92,0.64,0.002,1.7
2019-11-28,0.315,0.315,0.318,0.314,1389255,131884588.0,1.27,0.0,0.0,1.09
2019-11-29,0.316,0.316,0.317,0.314,986876,93272658.0,0.95,0.32,0.001,0.77
2019-12-02,0.316,0.317,0.319,0.315,1413096,134707105.0,1.27,0.32,0.001,1.11
2019-12-03,0.316,0.32,0.32,0.315,1421829,135386209.0,1.58,0.95,0.003,1.11
2019-12-04,0.317,0.318,0.32,0.317,1131139,107889632.0,0.94,-0.63,-0.002,0.89
2019-12-05,0.319,0.325,0.326,0.318,4024372,390661968.0,2.52,2.2,0.007,3.15
2019-12-06,0.325,0.329,0.33,0.325,3089173,303806320.0,1.54,1.23,0.004,2.42
2019-12-09,0.33,0.329,0.332,0.328,1641890,162486496.0,1.22,0.0,0.0,1.29
2019-12-10,0.329,0.333,0.333,0.327,2085493,207176463.0,1.82,1.22,0.004,1.63
2019-12-11,0.332,0.33,0.335,0.329,1690568,168065191.0,1.8,-0.9,-0.003,1.33
2019-12-12,0.33,0.333,0.335,0.329,2369395,236637716.0,1.82,0.91,0.003,1.86
2019-12-13,0.336,0.334,0.337,0.332,2440085,244355636.0,1.5,0.3,0.001,1.91
2019-12-16,0.335,0.342,0.342,0.335,4257603,432454928.0,2.1,2.4,0.008,3.34
2019-12-17,0.343,0.345,0.346,0.342,3758628,388280224.0,1.17,0.88,0.003,2.95
2019-12-18,0.345,0.344,0.35,0.343,2733193,283909184.0,2.03,-0.29,-0.001,2.14
2019-12-19,0.344,0.34,0.344,0.337,5670276,577761280.0,2.03,-1.16,-0.004,4.44
2019-12-20,0.339,0.335,0.34,0.335,5756306,581765024.0,1.47,-1.47,-0.005,4.51
2019-12-23,0.333,0.325,0.333,0.324,8693316,856498784.0,2.69,-2.99,-0.01,6.81
2019-12-24,0.326,0.331,0.331,0.324,3733768,367589296.0,2.15,1.85,0.006,2.93
2019-12-25,0.33,0.335,0.338,0.329,4248283,427295536.0,2.72,1.21,0.004,3.33
2019-12-26,0.335,0.335,0.336,0.332,3389449,339408736.0,1.19,0.0,0.0,2.66
2019-12-27,0.336,0.328,0.337,0.328,7500884,746330544.0,2.69,-2.09,-0.007,5.88
2019-12-30,0.326,0.33,0.332,0.32,5102231,498042160.0,3.66,0.61,0.002,4.0
2019-12-31,0.329,0.332,0.334,0.329,2802801,279191952.0,1.52,0.61,0.002,2.2
2020-01-02,0.335,0.341,0.343,0.333,5938053,604199504.0,3.01,2.71,0.009,4.65
2020-01-03,0.343,0.343,0.347,0.34,4315694,444870640.0,2.05,0.59,0.002,3.38
2020-01-06,0.34,0.346,0.35,0.339,4308076,446186928.0,3.21,0.87,0.003,3.38
2020-01-07,0.346,0.345,0.348,0.342,3374555,347722672.0,1.73,-0.29,-0.001,2.65
2020-01-08,0.343,0.338,0.344,0.337,4897346,499208192.0,2.03,-2.03,-0.007,3.84
2020-01-09,0.341,0.349,0.35,0.341,7133287,739852800.0,2.66,3.25,0.011,5.59
2020-01-10,0.35,0.353,0.355,0.349,5048999,533422944.0,1.72,1.15,0.004,3.96
2020-01-13,0.352,0.365,0.365,0.351,3899145,419669728.0,3.97,3.4,0.012,3.06
2020-01-14,0.365,0.36,0.366,0.359,5546197,600830320.0,1.92,-1.37,-0.005,4.35
2020-01-15,0.359,0.363,0.364,0.355,4452081,479526416.0,2.5,0.83,0.003,3.49
2020-01-16,0.363,0.363,0.365,0.361,2589428,282169424.0,1.1,0.0,0.0,2.03
2020-01-17,0.363,0.362,0.366,0.361,3043194,331725952.0,1.38,-0.28,-0.001,2.39
2020-01-20,0.362,0.376,0.376,0.362,4629596,515644752.0,3.87,3.87,0.014,3.63
2020-01-21,0.375,0.373,0.378,0.372,4646730,522130224.0,1.6,-0.8,-0.003,3.64
2020-01-22,0.371,0.388,0.39,0.365,7342521,830143776.0,6.7,4.02,0.015,5.76
2020-01-23,0.381,0.373,0.388,0.363,12593760,1418339280.0,6.44,-3.87,-0.015,9.87
2020-02-03,0.335,0.335,0.339,0.335,12725023,1282940192.0,1.07,-10.19,-0.038,9.97
2020-02-04,0.336,0.347,0.348,0.333,15377125,1574546880.0,4.48,3.58,0.012,12.05
2020-02-05,0.347,0.348,0.36,0.345,13139552,1385595632.0,4.32,0.29,0.001,10.3
2020-02-06,0.347,0.355,0.357,0.342,10607091,1114040752.0,4.31,2.01,0.007,8.31
2020-02-07,0.353,0.36,0.36,0.352,9293908,993221152.0,2.25,1.41,0.005,7.29
2020-02-10,0.358,0.36,0.36,0.353,6703797,718019584.0,1.94,0.0,0.0,5.25
2020-02-11,0.361,0.368,0.371,0.358,9162191,998980304.0,3.61,2.22,0.008,7.18
2020-02-12,0.364,0.372,0.373,0.363,8542806,942080960.0,2.72,1.09,0.004,6.7
2020-02-13,0.371,0.372,0.379,0.368,8914836,999335600.0,2.96,0.0,0.0,6.99
2020-02-14,0.371,0.377,0.383,0.37,7651668,866200896.0,3.49,1.34,0.005,6.0
2020-02-17,0.381,0.397,0.397,0.381,8747042,1021317920.0,4.24,5.31,0.02,6.86
2020-02-18,0.398,0.403,0.403,0.391,10624720,1265813504.0,3.02,1.51,0.006,8.33
2020-02-19,0.401,0.399,0.411,0.397,13118874,1586867408.0,3.47,-0.99,-0.004,10.28
2020-02-20,0.4,0.416,0.416,0.399,10913212,1333864704.0,4.26,4.26,0.017,8.55
2020-02-21,0.416,0.429,0.433,0.414,16422721,2099420192.0,4.57,3.13,0.013,12.87
2020-02-24,0.441,0.464,0.465,0.43,30558215,4087960368.0,8.16,8.16,0.035,23.95
2020-02-25,0.456,0.473,0.475,0.433,51514463,7063526144.0,9.05,1.94,0.009,40.38
2020-02-26,0.46,0.439,0.467,0.434,43101432,5866329088.0,6.98,-7.19,-0.034,33.79
2020-02-27,0.441,0.434,0.448,0.423,29315700,3833875472.0,5.69,-1.14,-0.005,22.98
2020-02-28,0.411,0.411,0.424,0.405,33744324,4199765392.0,4.38,-5.3,-0.023,26.45
2020-03-02,0.42,0.432,0.438,0.41,32280800,4101884528.0,6.81,5.11,0.021,25.3
2020-03-03,0.445,0.427,0.448,0.423,36847488,4844486912.0,5.79,-1.16,-0.005,28.88
2020-03-04,0.42,0.415,0.424,0.404,28104377,3486121392.0,4.68,-2.81,-0.012,22.03
2020-03-05,0.428,0.416,0.43,0.408,31377152,3931115872.0,5.3,0.24,0.001,24.6
2020-03-06,0.408,0.411,0.415,0.406,15629462,1926319344.0,2.16,-1.2,-0.005,12.25
2020-03-09,0.403,0.391,0.41,0.39,27340657,3278452064.0,4.87,-4.87,-0.02,21.43
2020-03-10,0.388,0.416,0.417,0.386,32292697,3900676416.0,7.93,6.39,0.025,25.31
2020-03-11,0.418,0.405,0.426,0.404,29355017,3659690800.0,5.29,-2.64,-0.011,23.01
2020-03-12,0.397,0.399,0.402,0.391,24630904,2928579232.0,2.72,-1.48,-0.006,19.31
2020-03-13,0.383,0.399,0.406,0.377,33623912,3957092016.0,7.27,0.0,0.0,26.36
2020-03-16,0.399,0.365,0.399,0.362,42852559,4865452800.0,9.27,-8.52,-0.034,33.59
2020-03-17,0.372,0.358,0.374,0.342,29809199,3195908848.0,8.77,-1.92,-0.007,23.37
2020-03-18,0.363,0.35,0.37,0.349,24888625,2693064592.0,5.87,-2.23,-0.008,19.51
2020-03-19,0.35,0.361,0.365,0.342,34358034,3633694480.0,6.57,3.14,0.011,26.93
2020-03-20,0.366,0.36,0.366,0.352,24216732,2611721248.0,3.88,-0.28,-0.001,18.98
2020-03-23,0.347,0.339,0.352,0.335,34733245,3588838128.0,4.72,-5.83,-0.021,27.23
2020-03-24,0.347,0.344,0.348,0.329,32020435,3264038880.0,5.6,1.47,0.005,25.1
2020-03-25,0.354,0.357,0.361,0.353,33853447,3622844016.0,2.33,3.78,0.013,26.54
2020-03-26,0.353,0.349,0.357,0.349,16268566,1718183552.0,2.24,-2.24,-0.008,12.75
2020-03-27,0.355,0.344,0.356,0.344,20205836,2116597952.0,3.44,-1.43,-0.005,15.84
2020-03-30,0.337,0.335,0.34,0.326,29876832,2974787008.0,4.07,-2.62,-0.009,23.42
2020-03-31,0.341,0.334,0.342,0.333,17076396,1725428240.0,2.69,-0.3,-0.001,13.39
2020-04-01,0.332,0.335,0.344,0.331,23898612,2429124304.0,3.89,0.3,0.001,18.73
2020-04-02,0.334,0.354,0.354,0.334,30183141,3122453728.0,5.97,5.67,0.019,23.66
2020-04-03,0.35,0.348,0.353,0.346,15364861,1606524384.0,1.98,-1.69,-0.006,12.04
2020-04-07,0.358,0.357,0.359,0.354,18110972,1939285136.0,1.44,2.59,0.009,14.2
2020-04-08,0.355,0.36,0.364,0.354,14485422,1566011456.0,2.8,0.84,0.003,11.35
2020-04-09,0.363,0.359,0.364,0.357,9832695,1060070016.0,1.94,-0.28,-0.001,7.71
2020-04-10,0.358,0.345,0.358,0.343,22037665,2299063136.0,4.18,-3.9,-0.014,17.27
2020-04-13,0.34,0.336,0.341,0.334,18022692,1820678704.0,2.03,-2.61,-0.009,14.13
2020-04-14,0.339,0.346,0.347,0.339,17148053,1760051840.0,2.38,2.98,0.01,13.44
2020-04-15,0.348,0.349,0.356,0.347,17402374,1834210608.0,2.6,0.87,0.003,13.64
2020-04-16,0.346,0.35,0.351,0.342,9946953,1037033616.0,2.58,0.29,0.001,7.8
2020-04-17,0.355,0.356,0.362,0.355,22752052,2448948864.0,2.0,1.71,0.006,17.83
2020-04-20,0.357,0.36,0.361,0.355,8258867,888542784.0,1.69,1.12,0.004,6.47
2020-04-21,0.357,0.357,0.358,0.35,10322473,1097823184.0,2.22,-0.83,-0.003,8.09
2020-04-22,0.352,0.358,0.358,0.351,7533886,802169280.0,1.96,0.28,0.001,5.91
2020-04-23,0.358,0.351,0.359,0.351,8722087,925821312.0,2.23,-1.96,-0.007,6.84
2020-04-24,0.352,0.345,0.354,0.343,9646164,1004246352.0,3.13,-1.71,-0.006,7.56
2020-04-27,0.346,0.347,0.35,0.341,7729374,803323248.0,2.61,0.58,0.002,6.06
2020-04-28,0.347,0.355,0.356,0.339,17296375,1818732592.0,4.9,2.31,0.008,13.56
2020-04-29,0.353,0.355,0.357,0.352,6233214,664278672.0,1.41,0.0,0.0,4.89
2020-04-30,0.359,0.374,0.376,0.358,21175254,2349821536.0,5.07,5.35,0.019,16.6
2020-05-06,0.371,0.388,0.388,0.37,14277836,1632169008.0,4.81,3.74,0.014,11.19
2020-05-07,0.396,0.386,0.398,0.385,14738198,1726933072.0,3.35,-0.52,-0.002,11.55
2020-05-08,0.389,0.39,0.395,0.387,10954689,1285193536.0,2.07,1.04,0.004,8.59
2020-05-11,0.393,0.39,0.395,0.386,10307421,1207781008.0,2.31,0.0,0.0,8.08
2020-05-12,0.388,0.391,0.391,0.382,9612400,1115004112.0,2.31,0.26,0.001,7.53
2020-05-13,0.387,0.391,0.394,0.386,6996655,817738480.0,2.05,0.0,0.0,5.48
2020-05-14,0.389,0.388,0.394,0.387,6538763,765780496.0,1.79,-0.77,-0.003,5.13
2020-05-15,0.39,0.393,0.398,0.387,9965123,1176083984.0,2.84,1.29,0.005,7.81
2020-05-18,0.393,0.374,0.393,0.372,19986161,2273695216.0,5.34,-4.83,-0.019,15.67
2020-05-19,0.377,0.382,0.382,0.374,11102000,1263676048.0,2.14,2.14,0.008,8.7
2020-05-20,0.381,0.377,0.383,0.374,8428288,956736896.0,2.36,-1.31,-0.005,6.61
2020-05-21,0.378,0.37,0.38,0.368,8691781,972078272.0,3.18,-1.86,-0.007,6.81
2020-05-22,0.369,0.36,0.371,0.357,12615799,1373665776.0,3.78,-2.7,-0.01,9.89
2020-05-25,0.358,0.352,0.359,0.349,9347096,989984320.0,2.78,-2.22,-0.008,7.33
2020-05-26,0.355,0.364,0.364,0.354,8906199,962919072.0,2.84,3.41,0.012,6.98
2020-05-27,0.363,0.357,0.363,0.355,7814001,838532304.0,2.2,-1.92,-0.007,6.13
2020-05-28,0.356,0.353,0.357,0.345,10205712,1074833504.0,3.36,-1.12,-0.004,8.0
2020-05-29,0.35,0.352,0.356,0.349,5805256,613627888.0,1.98,-0.28,-0.001,4.55
2020-06-01,0.356,0.373,0.375,0.356,16163371,1787532784.0,5.4,5.97,0.021,12.67
2020-06-02,0.375,0.377,0.381,0.373,13304354,1504637152.0,2.14,1.07,0.004,10.43
2020-06-03,0.379,0.381,0.389,0.375,16764465,1923515728.0,3.71,1.06,0.004,13.14
2020-06-04,0.382,0.379,0.385,0.378,7526352,859854656.0,1.84,-0.52,-0.002,5.9
2020-06-05,0.381,0.384,0.385,0.379,8053668,924116480.0,1.58,1.32,0.005,6.31
2020-06-08,0.389,0.386,0.396,0.385,9252075,1084883632.0,2.86,0.52,0.002,7.25
2020-06-09,0.387,0.387,0.389,0.383,5368348,622188944.0,1.55,0.26,0.001,4.21
2020-06-10,0.387,0.39,0.391,0.385,7486222,872980896.0,1.55,0.78,0.003,5.87
