window,train_start,train_end,test_start,test_end,train_累计收益,train_年化收益,train_年化波动,train_夏普比率,train_最大回撤,train_卡玛比率,train_胜率,train_盈亏比,train_回测天数,train_超额年化,train_跟踪误差,train_信息比率,train_基准年化
1,2019-10-16,2021-10-15,2021-10-18,2022-01-14,27.08%,13.29%,18.89%,0.649,-15.95%,0.833,53.93%,0.98,484,0.67%,7.23%,0.024,12.62%
2,2020-01-16,2022-01-14,2022-01-17,2022-04-15,24.10%,11.95%,17.07%,0.629,-10.53%,1.134,52.49%,1.03,482,4.98%,9.93%,0.376,6.97%
3,2020-04-16,2022-04-15,2022-04-18,2022-07-15,3.37%,1.75%,16.23%,0.065,-20.24%,0.086,53.32%,0.90,482,-2.91%,7.51%,-0.528,4.66%
4,2020-07-16,2022-07-15,2022-07-18,2022-10-14,-6.14%,-3.25%,16.40%,-0.241,-23.68%,-0.137,52.59%,0.88,483,0.21%,8.00%,-0.087,-3.45%
5,2020-10-16,2022-10-14,2022-10-17,2023-01-13,-12.83%,-6.91%,15.72%,-0.504,-23.39%,-0.296,50.72%,0.91,483,3.61%,7.57%,0.499,-10.53%
6,2021-01-18,2023-01-13,2023-01-16,2023-04-14,-12.30%,-6.63%,15.64%,-0.488,-25.59%,-0.259,49.38%,0.96,482,7.37%,8.65%,0.965,-14.01%
7,2021-04-16,2023-04-14,2023-04-17,2023-07-14,-3.21%,-1.69%,15.39%,-0.164,-24.38%,-0.069,49.90%,1.00,483,9.04%,7.25%,1.097,-10.73%
8,2021-07-16,2023-07-14,2023-07-17,2023-10-13,-10.40%,-5.58%,15.31%,-0.429,-26.06%,-0.214,49.59%,0.97,482,7.64%,7.39%,1.060,-13.22%
9,2021-10-18,2023-10-13,2023-10-16,2024-01-15,-14.02%,-7.60%,15.10%,-0.580,-24.81%,-0.306,46.47%,1.06,482,6.72%,5.92%,1.128,-14.31%
10,2022-01-17,2024-01-15,2024-01-16,2024-04-15,-13.74%,-7.41%,13.64%,-0.643,-17.57%,-0.421,45.25%,1.11,484,10.68%,7.89%,1.418,-18.09%
11,2022-04-18,2024-04-15,2024-04-16,2024-07-15,-2.34%,-1.23%,14.08%,-0.160,-20.65%,-0.059,48.03%,1.08,483,6.43%,8.11%,0.840,-7.66%
12,2022-07-18,2024-07-15,2024-07-16,2024-10-15,2.06%,1.07%,13.19%,-0.005,-20.42%,0.052,47.41%,1.14,483,11.24%,7.05%,1.679,-10.17%
